YY  MM DD hhmm     LAT      LON WDIR WSPD GST   PRES   ATMP  WTMP  DEWP  WVHT  DPD
2022 08 20 0030   26.26   -89.68 137  4.9  5.5 1015.6   29.4  30.5  25.3   0.3    5
2022 08 20 0130   26.24   -89.69 127  3.8  4.2 1016.0   29.5  30.5  25.0   0.4    4
2022 08 20 0230   26.23   -89.69 131  4.9  5.3 1016.6   29.6  30.5  24.9   0.4    5
2022 08 20 0330   26.21   -89.68 130  5.2  5.8 1016.9   29.4  30.4  25.3   0.4    4
2022 08 20 0430   26.20   -89.68 140  6.2  6.7 1016.7   29.4  30.2  25.4   0.4    4
2022 08 20 0530   26.19   -89.68 141  6.0  6.4 1016.6   29.5  30.3  25.8   0.5    4
2022 08 20 0630   26.19   -89.65 150  6.3  7.1 1016.8   29.6  30.3  25.7   0.5    5
2022 08 20 0730   26.17   -89.66 146  6.5  7.2 1016.4   29.5  30.2  25.4   0.5    2
2022 08 20 0830   26.15   -89.67 150  5.7  6.3 1016.1   29.4  30.2  25.6   0.5    2
2022 08 20 0930   26.14   -89.67 137  5.0  5.8 1015.8   29.4  30.2  25.8   0.5    3
2022 08 20 1030   26.13   -89.67 136  5.9  6.6 1016.2   29.5  30.1  25.5   0.5    3
2022 08 20 1130   26.14   -89.64 133  5.7  6.1 1017.2   29.6  30.2  25.3   0.6    3
2022 08 20 1230   26.13   -89.64 120  4.2  4.7 1017.9   29.6  30.2  24.9   0.6    3
2022 08 20 1330   26.12   -89.64 103  5.9  6.4 1018.4   29.7  30.1  25.7   0.5    3
2022 08 20 1430   26.10   -89.64 115  6.2  7.0 1018.8   29.8  30.2  25.6   0.6    3
2022 08 20 1530   26.09   -89.63 111  7.3  8.1 1019.2   29.8  30.3  25.3   0.6    4
2022 08 20 1630   26.07   -89.63 118  6.1  6.9 1019.2   29.8  30.2  25.5   0.7    3
2022 08 20 1730   26.05   -89.62 118  6.1  6.8 1019.0   29.9  30.3  26.0   0.7    4
2022 08 20 1830   26.04   -89.62 130  5.9  6.4 1018.4   29.9  30.4  25.2   0.7    4
2022 08 20 1930   26.06   -89.60 120  5.0  5.8 1017.8   29.8  30.4  26.0   0.7    4
2022 08 20 2030   26.05   -89.60 110  5.5  6.1 1017.5   29.9  30.4  25.9   0.8    4
2022 08 20 2130   26.03   -89.60 111  6.2  6.9 1017.1   29.9  30.4  26.0   0.8    4
2022 08 20 2230   26.01   -89.59 116  6.1  6.7 1017.3   29.9  30.3  25.7   0.7    4
2022 08 20 2330   26.00   -89.59 115  5.8  6.3 1017.3   30.0  30.3  25.9   0.8    4
2022 08 21 0030   25.98   -89.59 116  5.2  5.5 1017.5   30.0  30.2  25.5   0.8    4
2022 08 21 0130   25.97   -89.59 122  4.3  4.7 1017.7   29.8  30.2  25.9   0.8    4
2022 08 21 0230   25.96   -89.59 114  4.4  5.0 1018.3   29.8  30.2  25.2   0.8    5
2022 08 21 0330   25.94   -89.59 107  5.6  6.1 1018.4   29.9  30.1  25.4   0.7    4
2022 08 21 0430   25.93   -89.59 104  5.4  6.2 1018.6   29.8  30.1  25.5   0.7    4
2022 08 21 0530   25.91   -89.59  90  4.9  5.2 1018.3   29.6  30.1  26.1   0.7    4
2022 08 21 0630   25.90   -89.58  98  5.5  6.1 1017.6   29.6  30.1  26.0   0.7    4
2022 08 21 0730   25.89   -89.58 111  5.2  5.7 1017.4   29.6  30.1  25.3   0.7    5
2022 08 21 0830   25.87   -89.59  97  5.0  5.8 1017.1   29.5  30.0  25.3   0.7    5
2022 08 21 0930   25.89   -89.58  96  5.4  5.9 1017.0   29.4  30.1  25.6   0.7    5
2022 08 21 1030   25.90   -89.56 107  6.6  7.0 1016.9   29.6  30.2  25.8   0.7    5
2022 08 21 1130   25.92   -89.55 116  7.6  8.3 1017.1   29.6  30.1  26.5   0.7    5
2022 08 21 1230   25.91   -89.55 106  6.9  7.4 1017.5   29.7  30.1  25.9   0.7    5
2022 08 21 1330   25.90   -89.56 103  7.3  8.1 1018.1   29.8  30.1  25.9   0.8    5
2022 08 21 1430   25.92   -89.54 100  6.7  7.7 1018.7   29.8  30.1  26.2   0.8    5
2022 08 21 1530   25.91   -89.55 105  6.2  7.2 1019.0   29.9  30.2  26.0   0.8    5
2022 08 21 1630   25.90   -89.56 108  6.5  7.2 1018.8   29.9  30.3  25.7   0.8    4
2022 08 21 1730   25.92   -89.54 107  5.3  6.0 1018.4   29.8  30.3  25.6   0.8    5
2022 08 21 1830   25.91   -89.54 102  5.6  6.2 1017.8   29.9  30.4  25.7   0.8    4
2022 08 21 1930   25.90   -89.56 105  5.2  5.9 1017.2   29.9  30.5  25.9   0.7    4
2022 08 21 2030   25.91   -89.56 114  4.3  5.4 1016.5   30.0  30.5  25.9   0.7    5
2022 08 21 2130   25.92   -89.55  99  4.7  5.3 1016.1   29.9  30.5  25.9   0.7    5
2022 08 21 2230   25.93   -89.55 115  4.4  5.2 1015.6   30.0  30.5  25.7   0.7    5
2022 08 21 2330   25.91   -89.55 101  4.8  5.2 1015.6   29.9  30.4  24.7   0.7    5
2022 08 22 0030   25.90   -89.56 107  4.4  5.0 1015.9   29.7  30.3  25.1   0.7    5
2022 08 22 0130   25.91   -89.55 109  5.3  5.6 1016.2   29.8  30.3  25.2   0.6    5
2022 08 22 0230   25.93   -89.54  77  5.2  5.5 1016.7   29.7  30.3  25.4   0.6    5
2022 08 22 0330   25.95   -89.54  89  4.9  5.2 1017.0   29.6  30.3  25.6   0.6    6
2022 08 22 0430   25.98   -89.53  96  5.1  5.5 1016.9   29.6  30.2  25.6   0.6    6
2022 08 22 0530   25.97   -89.53  93  6.7  7.2 1016.8   29.8  30.1  25.8   0.6    5
2022 08 22 0630   25.95   -89.53 107  6.9  7.5 1016.1   29.6  30.2  25.8   0.6    5
2022 08 22 0730   25.93   -89.53 103  5.5  6.2 1015.9   29.6  30.2  26.2   0.6    5
2022 08 22 0830   25.91   -89.53 109  5.9  6.5 1015.2   29.5  30.2  25.7   0.6    5
2022 08 22 0930   25.89   -89.53 120  5.3  5.8 1015.1   29.5  30.2  25.7   0.6    5
2022 08 22 1030   25.92   -89.53 123  5.2  5.9 1015.3   29.4  30.1  25.1   0.6    5
2022 08 22 1130   25.96   -89.53 142  5.1  6.0 1015.6   29.3  30.2  25.8   0.6    6
2022 08 22 1230   25.99   -89.53 128  4.6  5.0 1015.8   29.7  30.2  25.0   0.5    6
2022 08 22 1330   25.98   -89.53 114  4.0  4.5 1015.5   29.6  30.1  25.2   0.5    6
2022 08 22 1430   25.97   -89.53 115  3.9  4.4 1015.7   29.6  30.1  25.5   0.5    5
2022 08 22 1530   25.96   -89.54 108  3.3  3.6 1016.0   29.6  30.2  25.7   0.5    3
2022 08 22 1630   25.96   -89.54  99  3.9  4.6 1015.8   29.5  30.4  25.4   0.5    5
2022 08 22 1730   25.95   -89.54  95  3.3  3.6 1015.5   29.6  30.6  25.6   0.5    5
2022 08 22 1830   25.94   -89.54 113  4.1  5.1 1014.9   29.7  30.7  25.7   0.5    5
2022 08 22 1930   25.93   -89.54  99  3.9  4.4 1014.4   29.8  30.6  25.8   0.5    6
2022 08 22 2030   25.92   -89.54 103  3.6  4.1 1013.9   29.7  30.7  25.5   0.5    5
2022 08 22 2130   25.92   -89.54  93  2.7  3.0 1013.6   29.9  30.7  25.3   0.5    5
2022 08 22 2230   25.91   -89.54  92  4.5  5.0 1013.4   29.9  30.6  25.3   0.5    4
2022 08 22 2330   25.90   -89.54 104  5.1  5.5 1013.4   29.8  30.6  25.7   0.5    5
2022 08 23 0030   25.91   -89.53 103  4.7  5.3 1013.7   29.6  30.5  25.3   0.4    5
2022 08 23 0130   25.93   -89.53  97  4.9  5.3 1014.2   29.7  30.5  25.1   0.4    6
2022 08 23 0230   25.95   -89.53 101  4.8  5.4 1014.8   29.8  30.4  24.8   0.4    6
2022 08 23 0330   25.98   -89.53 109  5.3  6.1 1014.8   29.8  30.3  24.8   0.5    6
2022 08 23 0430   25.97   -89.53 100  6.4  7.1 1014.4   29.6  30.3  25.5   0.5    5
2022 08 23 0530   25.97   -89.53 104  4.6  5.0 1013.8   29.6  30.3  25.0   0.5    5
2022 08 23 0630   26.00   -89.53 103  6.6  7.3 1013.3   29.6  30.2  25.2   0.5    6
2022 08 23 0730   26.02   -89.53 114  6.5  7.0 1012.8   29.4  30.2  25.6   0.6    6
2022 08 23 0830   25.99   -89.53 126  6.3  7.1 1012.6   29.3  30.2  25.3   0.6    5
2022 08 23 0930   25.97   -89.54 139  6.1  6.5 1012.3   29.2  30.2  25.2   0.6    3
2022 08 23 1030   26.00   -89.53 121  4.5  5.3 1012.7   29.3  30.2  25.1   0.6    3
2022 08 23 1130   26.02   -89.53 134  4.1  4.5 1013.0   29.3  30.2  25.3   0.6    3
2022 08 23 1230   26.00   -89.54 130  4.4  4.8 1013.0   29.1  30.2  25.7   0.6    5
2022 08 23 1330   25.99   -89.55  98  7.6  8.7 1013.4   27.8  30.2  25.3   0.5    3
2022 08 23 1430   25.98   -89.54 132  5.3  6.0 1013.5   29.6  30.2  25.3   0.6    3
2022 08 23 1530   25.98   -89.54 139  4.7  5.2 1013.7   29.7  30.3  25.1   0.6    3
2022 08 23 1630   25.96   -89.55 136  5.3  6.0 1013.5   29.7  30.4  25.7   0.6    3
2022 08 23 1730   25.94   -89.56 118  4.3  5.1 1013.1   29.7  30.5  25.2   0.6    4
2022 08 23 1830   25.93   -89.57 114  5.0  5.6 1012.9   29.8  30.6  25.4   0.5    3
2022 08 23 1930   25.90   -89.58 126  6.2  6.7 1012.4   29.9  30.6  25.7   0.5    5
2022 08 23 2030   25.90   -89.58 124  5.6  6.5 1011.9   29.8  30.5  25.5   0.5    4
2022 08 23 2130   25.93   -89.57 129  4.3  5.0 1011.4   29.8  30.5  25.1   0.5    4
2022 08 23 2230   25.94   -89.56  97  3.2  3.7 1011.4   29.7  30.5  25.8   0.5    7
2022 08 23 2330   25.93   -89.57 130  4.1  4.4 1011.4   29.8  30.4  24.8   0.5    5
2022 08 24 0030   25.91   -89.58 133  4.4  4.8 1012.0   29.7  30.4  24.8   0.5    6
